vx	V(p004)	V(n001)
Step Information: Vy=0  (Run: 1/6)
3.600000000000002e+000	5.000000e+000	1.719370e+000
3.700000000000002e+000	5.000000e+000	1.639106e+000
3.800000000000002e+000	5.000000e+000	1.561111e+000
3.900000000000002e+000	5.000000e+000	1.485743e+000
4.000000000000002e+000	5.000000e+000	1.413420e+000
4.100000000000001e+000	5.000000e+000	1.344635e+000
4.200000000000001e+000	5.000000e+000	1.279958e+000
4.300000000000001e+000	5.000000e+000	1.220043e+000
4.400000000000000e+000	5.000000e+000	1.165626e+000
4.500000000000000e+000	5.000000e+000	1.117511e+000
4.600000000000000e+000	5.000000e+000	1.076542e+000
4.699999999999999e+000	5.000000e+000	1.043551e+000
4.799999999999999e+000	5.000000e+000	1.019676e+000
4.899999999999999e+000	5.000000e+000	1.004934e+000
5.000000000000000e+000	5.000000e+000	9.999905e-001
Step Information: Vy=5  (Run: 6/6)
0.000000000000000e+000	5.000000e+000	5.000009e+000
1.000000000000000e-001	5.000000e+000	4.900009e+000
2.000000000000000e-001	5.000000e+000	4.800008e+000
3.000000000000000e-001	5.000000e+000	4.700008e+000
4.000000000000000e-001	5.000000e+000	4.600008e+000
5.000000000000000e-001	5.000000e+000	4.500008e+000
6.000000000000000e-001	5.000000e+000	4.400008e+000
7.000000000000000e-001	5.000000e+000	4.300008e+000
7.999999999999999e-001	5.000000e+000	4.200007e+000
8.999999999999999e-001	5.000000e+000	4.100008e+000
9.999999999999999e-001	5.000000e+000	4.000007e+000
1.100000000000000e+000	5.000000e+000	3.900007e+000
1.200000000000000e+000	5.000000e+000	3.800007e+000
1.300000000000000e+000	5.000000e+000	3.700007e+000
1.400000000000000e+000	5.000000e+000	3.600007e+000
1.500000000000000e+000	5.000000e+000	3.500006e+000
1.600000000000000e+000	5.000000e+000	3.400006e+000
1.700000000000000e+000	5.000000e+000	3.300006e+000
1.800000000000001e+000	5.000000e+000	3.200006e+000
1.900000000000001e+000	5.000000e+000	3.100006e+000
2.000000000000000e+000	5.000000e+000	3.000006e+000
2.100000000000001e+000	5.000000e+000	2.900006e+000
2.200000000000001e+000	5.000000e+000	2.800005e+000
2.300000000000001e+000	5.000000e+000	2.700005e+000
2.400000000000001e+000	5.000000e+000	2.600005e+000
2.500000000000001e+000	5.000000e+000	2.500005e+000
2.600000000000001e+000	5.000000e+000	2.400005e+000
2.700000000000001e+000	5.000000e+000	2.300005e+000
2.800000000000001e+000	5.000000e+000	2.200005e+000
2.900000000000001e+000	5.000000e+000	2.100004e+000
3.000000000000001e+000	5.000000e+000	2.000004e+000
3.100000000000001e+000	5.000000e+000	1.900004e+000
3.200000000000002e+000	5.000000e+000	1.800004e+000
3.300000000000002e+000	5.000000e+000	1.700004e+000
3.400000000000002e+000	5.000000e+000	1.600004e+000
3.500000000000002e+000	5.000000e+000	1.500003e+000
3.600000000000002e+000	5.000000e+000	1.400003e+000
3.700000000000002e+000	5.000000e+000	1.300003e+000
3.800000000000002e+000	5.000000e+000	1.200003e+000
3.900000000000002e+000	5.000000e+000	1.100003e+000
4.000000000000002e+000	5.000000e+000	1.000003e+000
4.100000000000001e+000	5.000000e+000	9.000026e-001
4.200000000000001e+000	5.000000e+000	8.000025e-001
4.300000000000001e+000	5.000000e+000	7.000023e-001
4.400000000000000e+000	5.000000e+000	6.000021e-001
4.500000000000000e+000	5.000000e+000	5.000020e-001
4.600000000000000e+000	5.000000e+000	4.000018e-001
4.699999999999999e+000	5.000000e+000	3.000017e-001
4.799999999999999e+000	5.000000e+000	2.000015e-001
4.899999999999999e+000	5.000000e+000	1.000013e-001
5.000000000000000e+000	5.000000e+000	5.661772e-007
