Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,
Vb, Ib, Ie, Ic,Vb, Ib, Ie, Ic,Vb, Ib, Ie, Ic,Vb, Ib, Ie, Ic
2.15,6.07E-05,-0.02036,-0.0204207,2.15,6.09E-05,-0.02036,-0.0204209,2.15,6.11E-05,-0.02036,-0.0204211,2.15,6.11E-05,-0.02036,-0.0204211
2.2,6.11E-05,-0.02036,-0.0204211,2.2,6.13E-05,-0.02036,-0.0204213,2.2,6.14E-05,-0.02036,-0.0204214,2.2,6.14E-05,-0.02036,-0.0204214
2.25,6.14E-05,-0.02036,-0.0204214,2.25,6.16E-05,-0.02036,-0.0204216,2.25,6.18E-05,-0.02036,-0.0204218,2.25,6.17E-05,-0.02036,-0.0204217
2.3,6.17E-05,-0.02036,-0.0204217,2.3,6.19E-05,-0.02036,-0.0204219,2.3,6.21E-05,-0.02036,-0.0204221,2.3,6.21E-05,-0.02036,-0.0204221
2.35,6.21E-05,-0.02036,-0.0204221,2.35,6.22E-05,-0.02036,-0.0204222,2.35,6.24E-05,-0.02036,-0.0204224,2.35,6.24E-05,-0.02036,-0.0204224
2.4,6.24E-05,-0.02036,-0.0204224,2.4,6.26E-05,-0.02036,-0.0204226,2.4,6.28E-05,-0.02036,-0.0204228,2.4,6.27E-05,-0.02036,-0.0204227
2.45,6.27E-05,-0.02036,-0.0204227,2.45,6.29E-05,-0.02036,-0.0204229,2.45,6.31E-05,-0.02036,-0.0204231,2.45,6.31E-05,-0.02036,-0.0204231
2.5,6.30E-05,-0.02036,-0.020423,2.5,6.32E-05,-0.02036,-0.0204232,2.5,6.34E-05,-0.02036,-0.0204234,2.5,6.34E-05,-0.02036,-0.0204234
2.55,6.34E-05,-0.02036,-0.0204234,2.55,6.36E-05,-0.02036,-0.0204236,2.55,6.38E-05,-0.02036,-0.0204238,2.55,6.37E-05,-0.02036,-0.0204237
2.6,6.37E-05,-0.02036,-0.0204237,2.6,6.39E-05,-0.02036,-0.0204239,2.6,6.41E-05,-0.02036,-0.0204241,2.6,6.41E-05,-0.02036,-0.0204241
2.65,6.40E-05,-0.02036,-0.020424,2.65,6.42E-05,-0.02036,-0.0204242,2.65,6.44E-05,-0.02036,-0.0204244,2.65,6.44E-05,-0.02036,-0.0204244
2.7,6.44E-05,-0.02036,-0.0204244,2.7,6.46E-05,-0.02036,-0.0204246,2.7,6.48E-05,-0.02036,-0.0204248,2.7,6.47E-05,-0.02036,-0.0204247
2.75,6.47E-05,-0.02036,-0.0204247,2.75,6.49E-05,-0.02036,-0.0204249,2.75,6.51E-05,-0.02036,-0.0204251,2.75,6.51E-05,-0.02036,-0.0204251
2.8,6.51E-05,-0.02036,-0.0204251,2.8,6.53E-05,-0.02036,-0.0204253,2.8,6.55E-05,-0.02036,-0.0204255,2.8,6.55E-05,-0.02036,-0.0204255
2.85,6.55E-05,-0.02036,-0.0204255,2.85,6.56E-05,-0.02036,-0.0204256,2.85,6.58E-05,-0.02036,-0.0204258,2.85,6.58E-05,-0.02036,-0.0204258
2.9,6.58E-05,-0.02036,-0.0204258,2.9,6.60E-05,-0.02036,-0.020426,2.9,6.62E-05,-0.02036,-0.0204262,2.9,6.61E-05,-0.02036,-0.0204261
2.95,6.61E-05,-0.02036,-0.0204261,2.95,6.63E-05,-0.02036,-0.0204263,2.95,6.65E-05,-0.02036,-0.0204265,2.95,6.65E-05,-0.02036,-0.0204265
3,6.65E-05,-0.02036,-0.0204265,3,6.67E-05,-0.02036,-0.0204267,3,6.69E-05,-0.02036,-0.0204269,3,6.69E-05,-0.02036,-0.0204269
3.05,6.69E-05,-0.02036,-0.0204269,3.05,6.70E-05,-0.02036,-0.020427,3.05,6.72E-05,-0.02036,-0.0204272,3.05,6.72E-05,-0.02036,-0.0204272
3.1,6.72E-05,-0.02036,-0.0204272,3.1,6.74E-05,-0.02036,-0.0204274,3.1,6.76E-05,-0.02036,-0.0204276,3.1,6.76E-05,-0.02036,-0.0204276
3.15,6.76E-05,-0.02036,-0.0204276,3.15,6.77E-05,-0.02036,-0.0204277,3.15,6.80E-05,-0.02036,-0.020428,3.15,6.80E-05,-0.02036,-0.020428
3.2,6.79E-05,-0.02036,-0.0204279,3.2,6.81E-05,-0.02036,-0.0204281,3.2,6.83E-05,-0.02036,-0.0204283,3.2,6.83E-05,-0.02036,-0.0204283
3.25,6.83E-05,-0.02036,-0.0204283,3.25,6.85E-05,-0.02036,-0.0204285,3.25,6.87E-05,-0.02036,-0.0204287,3.25,6.87E-05,-0.02036,-0.0204287
3.3,6.87E-05,-0.02036,-0.0204287,3.3,6.88E-05,-0.02036,-0.0204288,3.3,6.91E-05,-0.02036,-0.0204291,3.3,6.90E-05,-0.02036,-0.020429
3.35,6.91E-05,-0.02036,-0.0204291,3.35,6.92E-05,-0.02036,-0.0204292,3.35,6.94E-05,-0.02036,-0.0204294,3.35,6.94E-05,-0.02036,-0.0204294
3.4,6.94E-05,-0.02036,-0.0204294,3.4,6.96E-05,-0.02036,-0.0204296,3.4,6.98E-05,-0.02036,-0.0204298,3.4,6.98E-05,-0.02036,-0.0204298
3.45,6.98E-05,-0.02036,-0.0204298,3.45,6.99E-05,-0.02036,-0.0204299,3.45,7.01E-05,-0.02036,-0.0204301,3.45,7.01E-05,-0.02036,-0.0204301
3.5,7.01E-05,-0.02036,-0.0204301,3.5,7.03E-05,-0.02036,-0.0204303,3.5,7.05E-05,-0.02036,-0.0204305,3.5,7.05E-05,-0.02036,-0.0204305
3.55,7.05E-05,-0.02036,-0.0204305,3.55,7.07E-05,-0.02036,-0.0204307,3.55,7.09E-05,-0.02036,-0.0204309,3.55,7.09E-05,-0.02036,-0.0204309
3.6,7.09E-05,-0.02036,-0.0204309,3.6,7.11E-05,-0.02036,-0.0204311,3.6,7.13E-05,-0.02036,-0.0204313,3.6,7.13E-05,-0.02036,-0.0204313
3.65,7.13E-05,-0.02036,-0.0204313,3.65,7.15E-05,-0.02036,-0.0204315,3.65,7.17E-05,-0.02036,-0.0204317,3.65,7.17E-05,-0.02036,-0.0204317
3.7,7.17E-05,-0.02036,-0.0204317,3.7,7.18E-05,-0.02036,-0.0204318,3.7,7.21E-05,-0.02036,-0.0204321,3.7,7.20E-05,-0.02036,-0.020432
3.75,7.21E-05,-0.02036,-0.0204321,3.75,7.23E-05,-0.02036,-0.0204323,3.75,7.25E-05,-0.02036,-0.0204325,3.75,7.24E-05,-0.02036,-0.0204324
3.8,7.25E-05,-0.02036,-0.0204325,3.8,7.27E-05,-0.02036,-0.0204327,3.8,7.29E-05,-0.02036,-0.0204329,3.8,7.29E-05,-0.02036,-0.0204329
3.85,7.29E-05,-0.02036,-0.0204329,3.85,7.31E-05,-0.02036,-0.0204331,3.85,7.33E-05,-0.02036,-0.0204333,3.85,7.33E-05,-0.02036,-0.0204333
3.9,7.33E-05,-0.02036,-0.0204333,3.9,7.35E-05,-0.02036,-0.0204335,3.9,7.37E-05,-0.02036,-0.0204337,3.9,7.37E-05,-0.02036,-0.0204337
3.95,7.38E-05,-0.02036,-0.0204338,3.95,7.40E-05,-0.02036,-0.020434,3.95,7.41E-05,-0.02036,-0.0204341,3.95,7.41E-05,-0.02036,-0.0204341
4,7.43E-05,-0.02036,-0.0204343,4,7.44E-05,-0.02036,-0.0204344,4,7.47E-05,-0.02036,-0.0204347,4,7.47E-05,-0.02036,-0.0204347
4.05,7.49E-05,-0.02036,-0.0204349,4.05,7.50E-05,-0.02036,-0.020435,4.05,7.52E-05,-0.02036,-0.0204352,4.05,7.53E-05,-0.02036,-0.0204353
4.1,7.57E-05,-0.02036,-0.0204357,4.1,7.59E-05,-0.02036,-0.0204359,4.1,7.61E-05,-0.02036,-0.0204361,4.1,7.61E-05,-0.02036,-0.0204361
4.15,7.71E-05,-0.02036,-0.0204371,4.15,7.73E-05,-0.02036,-0.0204373,4.15,7.75E-05,-0.02036,-0.0204375,4.15,7.76E-05,-0.02036,-0.0204376
4.2,7.94E-05,-0.02036,-0.0204394,4.2,7.95E-05,-0.02036,-0.0204395,4.2,7.97E-05,-0.02036,-0.0204397,4.2,7.99E-05,-0.02036,-0.0204399
4.25,8.27E-05,-0.02036,-0.0204427,4.25,8.28E-05,-0.02036,-0.0204428,4.25,8.31E-05,-0.02036,-0.0204431,4.25,8.33E-05,-0.02036,-0.0204433
4.3,8.73E-05,-0.02036,-0.0204473,4.3,8.74E-05,-0.02036,-0.0204474,4.3,8.77E-05,-0.02036,-0.0204477,4.3,8.81E-05,-0.02036,-0.0204481
4.35,9.34E-05,-0.02036,-0.0204534,4.35,9.35E-05,-0.02036,-0.0204535,4.35,9.39E-05,-0.02036,-0.0204539,4.35,9.43E-05,-0.02036,-0.0204543
4.4,0.0001009,-0.02036,-0.0204609,4.4,0.000101,-0.02036,-0.020461,4.4,0.0001014,-0.02036,-0.0204614,4.4,0.000102,-0.02036,-0.020462
4.45,0.00011,-0.02036,-0.02047,4.45,0.0001101,-0.02036,-0.0204701,4.45,0.0001105,-0.02036,-0.0204705,4.45,0.0001112,-0.02036,-0.0204712
4.5,0.0001219,-0.02036,-0.0204819,4.5,0.0001221,-0.02036,-0.0204821,4.5,0.0001226,-0.02036,-0.0204826,4.5,0.0001234,-0.02036,-0.0204834
4.55,0.000142,-0.02036,-0.020502,4.55,0.0001424,-0.02036,-0.0205024,4.55,0.0001431,-0.02036,-0.0205031,4.55,0.0001444,-0.02036,-0.0205044
4.6,0.0001867,-0.02036,-0.0205467,4.6,0.0001867,-0.02036,-0.0205467,4.6,0.0001881,-0.02036,-0.0205481,4.6,0.0001916,-0.02036,-0.0205516
4.65,0.000304,-0.02036,-0.020664,4.65,0.000303,-0.02036,-0.020663,4.65,0.000306,-0.02036,-0.020666,4.65,0.000315,-0.02036,-0.020675
4.7,0.000547,-0.02036,-0.020907,4.7,0.000543,-0.02036,-0.020903,4.7,0.00055,-0.02036,-0.02091,4.7,0.000569,-0.02036,-0.020929
4.75,0.000978,-0.02036,-0.021338,4.75,0.000969,-0.02036,-0.021329,4.75,0.000983,-0.02036,-0.021343,4.75,0.001012,-0.02036,-0.021372
4.8,0.001559,-0.02036,-0.021919,4.8,0.001548,-0.02036,-0.021908,4.8,0.001562,-0.02036,-0.021922,4.8,0.001602,-0.02036,-0.021962
4.85,0.00233,-0.02036,-0.02269,4.85,0.00231,-0.02036,-0.02267,4.85,0.00233,-0.02036,-0.02269,4.85,0.00238,-0.02036,-0.02274
4.9,0.00307,-0.02036,-0.02343,4.9,0.00306,-0.02036,-0.02342,4.9,0.00308,-0.02036,-0.02344,4.9,0.00313,-0.02036,-0.02349
4.95,0.00387,-0.02036,-0.02423,4.95,0.00386,-0.02036,-0.02422,4.95,0.00387,-0.02036,-0.02423,4.95,0.00393,-0.02036,-0.02429
5,0.0047,-0.02036,-0.02506,5,0.00469,-0.02036,-0.02505,5,0.00471,-0.02036,-0.02507,5,0.00478,-0.02036,-0.02514
