NOTE! USE TRIAL THREE FOR SURE,,Ix, Iz,,,Ix, Iz,,,Ix, Iz,,,Iy, Iz,,,Iy, Iz,,,
7.42E-07,-0.001949,1.20E-06,-0.00225,,,1.20E-06,-0.00203,,,1.20E-06,-0.001236,,,1.20E-06,-0.01231,,,1.20E-06,-0.01233,,,
8.71E-07,-0.00203,1.41E-06,-0.0024,,,1.41E-06,-0.00219,,,1.41E-06,-0.001449,,,1.41E-06,-0.01241,,,1.41E-06,-0.01243,,,
1.02E-06,-0.00213,1.66E-06,-0.00258,,,1.66E-06,-0.00238,,,1.66E-06,-0.0017,,,1.66E-06,-0.01253,,,1.66E-06,-0.01255,,,
1.20E-06,-0.00225,1.95E-06,-0.0028,,,1.95E-06,-0.00261,,,1.95E-06,-0.001988,,,1.95E-06,-0.01267,,,1.95E-06,-0.01269,,,
1.41E-06,-0.0024,2.29E-06,-0.00305,,,2.29E-06,-0.00288,,,2.29E-06,-0.00228,,,2.29E-06,-0.01282,,,2.29E-06,-0.01284,,,
1.66E-06,-0.00258,2.69E-06,-0.00338,,,2.69E-06,-0.00323,,,2.69E-06,-0.00268,,,2.69E-06,-0.01303,,,2.69E-06,-0.01304,,,
1.95E-06,-0.0028,3.16E-06,-0.0038,,,3.16E-06,-0.00368,,,3.16E-06,-0.00315,,,3.16E-06,-0.01326,,,3.16E-06,-0.01329,,,
2.29E-06,-0.00305,3.72E-06,-0.00433,,,3.72E-06,-0.0042,,,3.72E-06,-0.00371,,,3.72E-06,-0.01355,,,3.72E-06,-0.01357,,,
2.69E-06,-0.00338,4.37E-06,-0.00491,,,4.37E-06,-0.0048,,,4.37E-06,-0.00436,,,4.37E-06,-0.0139,,,4.37E-06,-0.01392,,,
3.16E-06,-0.0038,5.13E-06,-0.00562,,,5.13E-06,-0.00554,,,5.13E-06,-0.00513,,,5.13E-06,-0.01432,,,5.13E-06,-0.01433,,,
3.72E-06,-0.00433,6.03E-06,-0.00647,,,6.03E-06,-0.00641,,,6.03E-06,-0.00603,,,6.03E-06,-0.01482,,,6.03E-06,-0.01484,,,
4.37E-06,-0.00491,7.08E-06,-0.00747,,,7.08E-06,-0.00744,,,7.08E-06,-0.00708,,,7.08E-06,-0.01542,,,7.08E-06,-0.01545,,,
5.13E-06,-0.00562,8.32E-06,-0.00866,,,8.32E-06,-0.00864,,,8.32E-06,-0.00829,,,8.32E-06,-0.01615,,,8.32E-06,-0.01618,,,
