Ix1, Iz1,Iz1,,Ix2, Iz2,Iz2,,Ix3, Iz3,Iz3
0.00015135,-0.000431,4.31E-04,,0.00015135,-0.0001445,1.45E-04,,0.00015135,-4.80E-05,4.80E-05
0.00017785,-0.000467,4.67E-04,,0.00017785,-0.0001564,1.56E-04,,0.00017785,-5.21E-05,5.21E-05
0.000209,-0.000506,5.06E-04,,0.000209,-0.0001691,1.69E-04,,0.000209,-5.64E-05,5.64E-05
0.0002455,-0.000548,5.48E-04,,0.0002455,-0.000183,1.83E-04,,0.0002455,-6.12E-05,6.12E-05
0.0002885,-0.000595,5.95E-04,,0.0002885,-0.0001984,1.98E-04,,0.0002885,-6.65E-05,6.65E-05
0.000339,-0.000645,6.45E-04,,0.000339,-0.000215,2.15E-04,,0.000339,-7.23E-05,7.23E-05
0.000398,-0.000699,6.99E-04,,0.000398,-0.000233,2.33E-04,,0.000398,-7.86E-05,7.86E-05
0.0004675,-0.000759,7.59E-04,,0.0004675,-0.000252,2.52E-04,,0.0004675,-8.55E-05,8.55E-05
0.0005495,-0.000823,8.23E-04,,0.0005495,-0.000274,2.74E-04,,0.0005495,-9.31E-05,9.31E-05
0.0006455,-0.000892,8.92E-04,,0.0006455,-0.000298,2.98E-04,,0.0006455,-0.0001014,1.01E-04
0.0007585,-0.000967,9.67E-04,,0.0007585,-0.000323,3.23E-04,,0.0007585,-0.0001104,1.10E-04
0.0008915,-0.001049,1.05E-03,,0.0008915,-0.000351,3.51E-04,,0.0008915,-0.0001203,1.20E-04
0.001047,-0.001137,1.14E-03,,0.001047,-0.000381,3.81E-04,,0.001047,-0.0001313,1.31E-04
0.0012305,-0.001232,1.23E-03,,0.0012305,-0.000415,4.15E-04,,0.0012305,-0.0001434,1.43E-04
0.0014455,-0.001334,1.33E-03,,0.0014455,-0.00045,4.50E-04,,0.0014455,-0.0001566,1.57E-04
0.001698,-0.001347,1.35E-03,,0.001698,-0.000489,4.89E-04,,0.001698,-0.0001714,1.71E-04
0.0019955,-0.001345,1.35E-03,,0.0019955,-0.000532,5.32E-04,,0.0019955,-0.0001879,1.88E-04
0.002345,-0.001354,1.35E-03,,0.002345,-0.000574,5.74E-04,,0.002345,-0.000204,2.04E-04
0.002755,-0.001397,1.40E-03,,0.002755,-0.000624,6.24E-04,,0.002755,-0.000225,2.25E-04
0.003235,-0.001477,1.48E-03,,0.003235,-0.00068,6.80E-04,,0.003235,-0.000248,2.48E-04
0.0038,-0.001598,1.60E-03,,0.0038,-0.000741,7.41E-04,,0.0038,-0.000274,2.74E-04
0.004465,-0.001767,1.77E-03,,0.004465,-0.000809,8.09E-04,,0.004465,-0.000306,3.06E-04
0.00525,-0.001981,1.98E-03,,0.00525,-0.000884,8.84E-04,,0.00525,-0.000342,3.42E-04
0.006165,-0.00226,2.26E-03,,0.006165,-0.000967,9.67E-04,,0.006165,-0.000383,3.83E-04
0.007245,-0.00264,2.64E-03,,0.007245,-0.001059,1.06E-03,,0.007245,-0.00043,4.30E-04
0.00851,-0.00259,2.59E-03,,0.00851,-0.001161,1.16E-03,,0.00851,-0.000485,4.85E-04
0.01,-0.00267,2.67E-03,,0.01,-0.001276,1.28E-03,,0.01,-0.00055,5.50E-04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
