Sweeping current Ix for 3 values of Iy
Trial 1 for input current Ix
Ix, Iz
1.4125e-06,4.9e-09
1.6595e-06,9.1e-09
1.95e-06,4e-09
2.29e-06,3.3e-09
2.69e-06,1.07e-08
3.16e-06,1.14e-08
3.715e-06,8.3e-09
4.365e-06,7.7e-09
5.13e-06,7.4e-09
6.025e-06,7.3e-09
7.08e-06,1.41e-08
8.32e-06,6.2e-09
9.77e-06,7.4e-09
1.148e-05,7.3e-09
1.349e-05,1.03e-08
1.585e-05,1.47e-08
1.862e-05,4.1e-09
2.19e-05,4.6e-09
2.57e-05,6.8e-09
3.02e-05,1.59e-08
3.55e-05,1.37e-08
4.17e-05,1.35e-08
4.9e-05,6.7e-09
5.755e-05,7.5e-09
6.76e-05,1.74e-08
7.945e-05,1.39e-08
9.335e-05,7.7e-09
0.00010965,9.3e-09
0.0001288,7.5e-09
0.00015135,6.9e-09
0.00017785,8.9e-09
0.000209,9.1e-09
0.0002455,1.46e-08
0.0002885,1.11e-08
0.000339,1.02e-08
0.000398,7.1e-09
0.0004675,5.6e-09
0.0005495,9.6e-09
0.0006455,9.4e-09
0.0007585,4.9e-09
0.0008915,6.4e-09
0.001047,1.02e-08
0.0012305,5.7e-09
0.0014455,6.1e-09
0.001698,9.6e-09
0.0019955,7.7e-09
0.002345,9.9e-09
0.002755,1.12e-08
0.003235,1.85e-08
0.0038,1.9e-08
0.004465,1.4e-08
0.00525,8.5e-09
0.006165,7.4e-09
0.007245,4.4e-09
0.00851,9.5e-09
0.01,1.34e-08
Trial 3 for input current Iy
Iy, Iz
1e-09,3e-10
1.15e-09,-6.4e-09
1.4e-09,-8.2e-09
1.6e-09,-3.3e-09
1.9e-09,7.9e-09
2.25e-09,2.56e-08
2.65e-09,2.03e-08
3.1e-09,9.4e-09
3.65e-09,5.4e-09
4.25e-09,-3.7e-09
5e-09,1.7e-09
5.9e-09,2.7e-09
6.9e-09,2.4e-09
8.15e-09,1.9e-09
9.55e-09,1.01e-08
1.12e-08,1.21e-08
1.32e-08,1.76e-08
1.55e-08,4.32e-08
1.82e-08,5.76e-08
2.14e-08,2.22e-08
2.51e-08,-1.35e-08
2.95e-08,-4.64e-08
3.465e-08,-2.17e-08
4.075e-08,1.07e-08
4.785e-08,2.31e-08
5.625e-08,1.82e-08
6.605e-08,1.69e-08
7.76e-08,-1.33e-08
9.12e-08,-5.3e-09
1.0715e-07,4.1e-08
1.259e-07,4.29e-08
1.479e-07,2.57e-08
1.738e-07,3.46e-08
2.04e-07,1.99e-08
2.4e-07,5.8e-09
2.82e-07,4.1e-09
3.31e-07,-1.21e-08
3.89e-07,1.29e-08
4.57e-07,1.5e-09
5.37e-07,7.2e-09
6.31e-07,7.4e-09
7.415e-07,5.4e-09
8.71e-07,-8e-10
1.0235e-06,-8e-09
1.2025e-06,-6.8e-09
1.4125e-06,-4.6e-09
1.6595e-06,-1.6e-09
1.95e-06,-7.4e-09
2.29e-06,-1.44e-08
2.69e-06,-8.9e-09
3.16e-06,5.7e-09
3.715e-06,-3.1e-09
4.365e-06,1.6e-09
5.13e-06,5e-10
6.025e-06,8.4e-09
7.08e-06,1.05e-08
8.32e-06,7.8e-09
9.77e-06,1.6e-09
1.148e-05,-1.9e-09
1.349e-05,6e-09
1.585e-05,4.5e-09
1.862e-05,5.9e-09
2.19e-05,6.8e-09
2.57e-05,-4.7e-09
3.02e-05,-9e-10
3.55e-05,3e-09
4.17e-05,3.9e-09
4.9e-05,1.4e-09
5.755e-05,-4.8e-09
6.76e-05,-4.5e-09
7.945e-05,-1.34e-08
9.335e-05,-1.51e-08
0.00010965,-1.82e-08
0.0001288,-9.4e-09
0.00015135,9.5e-09
0.00017785,2e-08
0.000209,3.93e-08
0.0002455,6.41e-08
0.0002885,1.92e-08
0.000339,-3.19e-08
0.000398,-6.13e-08
0.0004675,-1.69e-08
0.0005495,7e-09
0.0006455,1.48e-08
0.0007585,2.25e-08
0.0008915,2.54e-08
0.001047,2.69e-08
0.0012305,2.84e-08
0.0014455,2.71e-08
0.001698,3.15e-08
0.0019955,2.64e-08
0.002345,3.24e-08
0.002755,2.53e-08
0.003235,2e-08
0.0038,1.45e-08
0.004465,1.09e-08
0.00525,1.22e-08
0.006165,1.71e-08
0.007245,1.68e-08
0.00851,2.01e-08
0.01,1.56e-08
