196,Iy1, Iz,Iz with 196 ohm,Iz with 39 ohm,Iz with 1k,,976,Iy2, Iz,Iz2,,39 ohm,Iy3, Iz,Iz3,,,, Iz,Iz4
,1.35E-05,-0.000418,0.000418,0.01867,0.00249,,,1.35E-05,-1.20E-09,1.20E-09,,,1.35E-05,-0.01867,0.01867,,,,-0.00249,0.00249
,1.59E-05,-0.000345,0.000345,0.01866,0.00245,,,1.59E-05,-9.00E-10,9.00E-10,,,1.59E-05,-0.01866,0.01866,,,,-0.00245,0.00245
,1.86E-05,-0.000237,0.000237,0.01864,0.00241,,,1.86E-05,-7.00E-10,7.00E-10,,,1.86E-05,-0.01864,0.01864,,,,-0.00241,0.00241
,2.19E-05,-4.39E-05,0.0000439,0.01863,0.00236,,,2.19E-05,-7.00E-10,7.00E-10,,,2.19E-05,-0.01863,0.01863,,,,-0.00236,0.00236
,2.57E-05,-2.57E-07,0.000000257,0.01862,0.0023,,,2.57E-05,-9.00E-10,9.00E-10,,,2.57E-05,-0.01862,0.01862,,,,-0.0023,0.0023
,3.02E-05,-1.00E-07,0.0000001,0.01861,0.00223,,,3.02E-05,-8.00E-10,8.00E-10,,,3.02E-05,-0.01861,0.01861,,,,-0.00223,0.00223
,3.55E-05,-6.01E-08,6.01E-08,0.0186,0.00214,,,3.55E-05,-9.00E-10,9.00E-10,,,3.55E-05,-0.0186,0.0186,,,,-0.00214,0.00214
,4.17E-05,-4.29E-08,4.29E-08,0.01858,0.00204,,,4.17E-05,-1.00E-09,0.000000001,,,4.17E-05,-0.01858,0.01858,,,,-0.00204,0.00204
,4.90E-05,-3.25E-08,3.25E-08,0.01856,0.00192,,,4.90E-05,-9.00E-10,9.00E-10,,,4.90E-05,-0.01856,0.01856,,,,-0.00192,0.00192
,5.76E-05,-2.56E-08,2.56E-08,0.01854,0.00177,,,5.76E-05,-6.00E-10,6.00E-10,,,5.76E-05,-0.01854,0.01854,,,,-0.00177,0.00177
,6.76E-05,-2.08E-08,2.08E-08,0.01852,0.00158,,,6.76E-05,-5.00E-10,5.00E-10,,,6.76E-05,-0.01852,0.01852,,,,-0.00158,0.00158
,7.95E-05,-1.75E-08,1.75E-08,0.01849,0.00138,,,7.95E-05,-7.00E-10,7.00E-10,,,7.95E-05,-0.01849,0.01849,,,,-0.00138,0.00138
,9.34E-05,-1.48E-08,1.48E-08,0.01846,0.00114,,,9.34E-05,-7.00E-10,7.00E-10,,,9.34E-05,-0.01846,0.01846,,,,-0.00114,0.00114
,0.00010965,-1.24E-08,1.24E-08,0.01843,0.000925,,,0.00010965,-4.00E-10,4.00E-10,,,0.00010965,-0.01843,0.01843,,,,-0.000925,0.000925
,0.0001288,-1.06E-08,1.06E-08,0.01839,0.000717,,,0.0001288,-2.00E-10,2.00E-10,,,0.0001288,-0.01839,0.01839,,,,-0.000717,0.000717
,0.00015135,-9.20E-09,9.20E-09,0.01835,0.000549,,,0.00015135,-9.00E-10,9.00E-10,,,0.00015135,-0.01835,0.01835,,,,-0.000549,0.000549
,0.00017785,-8.00E-09,0.000000008,0.0183,0.000424,,,0.00017785,-8.00E-10,8.00E-10,,,0.00017785,-0.0183,0.0183,,,,-0.000424,0.000424
,0.000209,-6.80E-09,6.80E-09,0.01825,0.000338,,,0.000209,-8.00E-10,8.00E-10,,,0.000209,-0.01825,0.01825,,,,-0.000338,0.000338
,0.0002455,-6.00E-09,0.000000006,0.01818,0.000266,,,0.0002455,-8.00E-10,8.00E-10,,,0.0002455,-0.01818,0.01818,,,,-0.000266,0.000266
,0.0002885,-5.10E-09,5.10E-09,0.01809,0.000212,,,0.0002885,-1.10E-09,1.10E-09,,,0.0002885,-0.01809,0.01809,,,,-0.000212,0.000212
,0.000339,-3.90E-09,3.90E-09,0.018,0.00017,,,0.000339,-6.00E-10,6.00E-10,,,0.000339,-0.018,0.018,,,,-0.00017,0.00017
,0.000398,-3.60E-09,3.60E-09,0.01788,0.000138,,,0.000398,-5.00E-10,5.00E-10,,,0.000398,-0.01788,0.01788,,,,-0.000138,0.000138
,0.0004675,-3.00E-09,0.000000003,0.01774,0.000111,,,0.0004675,-6.00E-10,6.00E-10,,,0.0004675,-0.01774,0.01774,,,,-0.000111,0.000111
,0.0005495,-2.60E-09,2.60E-09,0.01756,0.0000926,,,0.0005495,-8.00E-10,8.00E-10,,,0.0005495,-0.01756,0.01756,,,,-9.26E-05,0.0000926
,0.0006455,-2.40E-09,2.40E-09,0.01736,0.0000749,,,0.0006455,-7.00E-10,7.00E-10,,,0.0006455,-0.01736,0.01736,,,,-7.49E-05,0.0000749
,0.0007585,-1.80E-09,1.80E-09,0.01709,0.0000597,,,0.0007585,-4.00E-10,4.00E-10,,,0.0007585,-0.01709,0.01709,,,,-5.97E-05,0.0000597
,0.0008915,-1.40E-09,1.40E-09,0.01676,0.0000467,,,0.0008915,-9.00E-10,9.00E-10,,,0.0008915,-0.01676,0.01676,,,,-4.67E-05,0.0000467
,0.001047,-9.00E-10,9.00E-10,0.01632,0.0000356,,,0.001047,-8.00E-10,8.00E-10,,,0.001047,-0.01632,0.01632,,,,-3.56E-05,0.0000356
,0.0012305,-1.00E-09,0.000000001,0.01576,0.0000265,,,0.0012305,-6.00E-10,6.00E-10,,,0.0012305,-0.01576,0.01576,,,,-2.65E-05,0.0000265
,0.0014455,-1.10E-09,1.10E-09,0.01501,0.0000191,,,0.0014455,-1.00E-09,0.000000001,,,0.0014455,-0.01501,0.01501,,,,-1.91E-05,0.0000191
,0.001698,-1.30E-09,1.30E-09,0.01398,0.0000132,,,0.001698,-7.00E-10,7.00E-10,,,0.001698,-0.01398,0.01398,,,,-1.32E-05,0.0000132
,0.0019955,-8.00E-10,8.00E-10,0.01255,0.00000877,,,0.0019955,-6.00E-10,6.00E-10,,,0.0019955,-0.01255,0.01255,,,,-8.77E-06,0.00000877
,0.002345,-7.00E-10,7.00E-10,0.01068,0.00000592,,,0.002345,-6.00E-10,6.00E-10,,,0.002345,-0.01068,0.01068,,,,-5.92E-06,0.00000592
,0.002755,-7.00E-10,7.00E-10,0.00802,0.0000036,,,0.002755,-5.00E-10,5.00E-10,,,0.002755,-0.00802,0.00802,,,,-3.60E-06,0.0000036
,0.003235,-8.00E-10,8.00E-10,0.00547,0.00000209,,,0.003235,-2.00E-10,2.00E-10,,,0.003235,-0.00547,0.00547,,,,-2.09E-06,0.00000209
,0.0038,-7.00E-10,7.00E-10,0.00343,0.00000115,,,0.0038,-7.00E-10,7.00E-10,,,0.0038,-0.00343,0.00343,,,,-1.15E-06,0.00000115
,0.004465,-8.00E-10,8.00E-10,0.00199,0.000000619,,,0.004465,-1.00E-09,0.000000001,,,0.004465,-0.00199,0.00199,,,,-6.19E-07,0.000000619
,0.00525,-2.00E-10,2.00E-10,0.00106,0.000000304,,,0.00525,-4.00E-10,4.00E-10,,,0.00525,-0.00106,0.00106,,,,-3.04E-07,0.000000304
,0.006165,-3.00E-10,3.00E-10,0.000538,0.00000014,,,0.006165,-6.00E-10,6.00E-10,,,0.006165,-0.000538,0.000538,,,,-1.40E-07,0.00000014
,0.007245,-3.00E-10,3.00E-10,0.000251,5.97E-08,,,0.007245,-3.00E-10,3.00E-10,,,0.007245,-0.000251,0.000251,,,,-5.97E-08,5.97E-08
,0.00851,-4.00E-10,4.00E-10,0.000107,0.000000022,,,0.00851,-8.00E-10,8.00E-10,,,0.00851,-0.000107,0.000107,,,,-2.20E-08,0.000000022
,0.01,-4.00E-10,4.00E-10,0.0000433,5.4E-09,,,0.01,0,0,,,0.01,-4.33E-05,0.0000433,,,,-5.40E-09,5.4E-09
