NOTE! USE JUST THE FIRST TRIAL, IT WAS TAKEN WITH TWO 39 OHM RESISTORS
Sweeping current Ix for 3 values of Iy,
Trial 1 for input current Ix,
Ix, Iz
7.76E-08,-7.97E-07
9.12E-08,-1.10E-09
1.07E-07,-8.00E-10
1.26E-07,-1.00E-09
1.48E-07,-1.00E-09
1.74E-07,-8.00E-10
2.04E-07,-1.30E-09
2.40E-07,-9.00E-10
2.82E-07,-1.00E-09
3.31E-07,-1.30E-09
3.89E-07,-9.00E-10
4.57E-07,-9.00E-10
5.37E-07,-1.20E-09
6.31E-07,-9.00E-10
7.42E-07,-1.10E-09
8.71E-07,-1.20E-09
1.02E-06,-9.00E-10
1.20E-06,-1.10E-09
1.41E-06,-1.10E-09
1.66E-06,-1.10E-09
1.95E-06,-6.00E-10
2.29E-06,-1.20E-09
2.69E-06,-8.00E-10
3.16E-06,-8.00E-10
3.72E-06,-9.00E-10
4.37E-06,-1.00E-09
5.13E-06,-9.00E-10
6.03E-06,-9.00E-10
7.08E-06,-9.00E-10
8.32E-06,-6.00E-10
9.77E-06,-9.00E-10
1.15E-05,-1.00E-09
1.35E-05,-1.10E-09
1.59E-05,-1.10E-09
1.86E-05,-5.00E-10
2.19E-05,-1.00E-09
2.57E-05,-8.00E-10
3.02E-05,-9.00E-10
3.55E-05,-9.00E-10
4.17E-05,-8.00E-10
4.90E-05,-9.00E-10
5.76E-05,-8.00E-10
6.76E-05,-7.00E-10
7.95E-05,-8.00E-10
9.34E-05,-8.00E-10
0.00010965,-9.00E-10
0.0001288,-6.00E-10
0.00015135,-9.00E-10
0.00017785,-6.00E-10
0.000209,-6.00E-10
0.0002455,-7.00E-10
0.0002885,-5.00E-10
0.000339,-6.00E-10
0.000398,-9.00E-10
0.0004675,-8.00E-10
0.0005495,-9.00E-10
0.0006455,-1.10E-09
0.0007585,-7.00E-10
0.0008915,-7.00E-10
0.001047,-5.00E-10
0.0012305,-7.00E-10
0.0014455,-6.00E-10
0.001698,-8.00E-10
0.0019955,-5.00E-10
0.002345,-8.00E-10
0.002755,-9.00E-10
0.003235,-6.00E-10
0.0038,-6.00E-10
0.004465,-7.00E-10
0.00525,-6.00E-10
0.006165,-5.00E-10
0.007245,-5.00E-10
0.00851,-5.00E-10
0.01,-3.00E-10
Trial 3 for input current Iy,
Iy, Iz
1.00E-09,-6.00E-10
1.15E-09,-4.00E-10
1.40E-09,-8.00E-10
1.60E-09,-8.00E-10
1.90E-09,-5.00E-10
2.25E-09,-7.00E-10
2.65E-09,-6.00E-10
3.10E-09,-8.00E-10
3.65E-09,-6.00E-10
4.25E-09,-8.00E-10
5.00E-09,-7.00E-10
5.90E-09,-4.00E-10
6.90E-09,-6.00E-10
8.15E-09,-6.00E-10
9.55E-09,-9.00E-10
1.12E-08,-7.00E-10
1.32E-08,-5.00E-10
1.55E-08,-8.00E-10
1.82E-08,-7.00E-10
2.14E-08,-6.00E-10
2.51E-08,-7.00E-10
2.95E-08,-6.00E-10
3.47E-08,-8.00E-10
4.08E-08,-6.00E-10
4.79E-08,-6.00E-10
5.63E-08,-6.00E-10
6.61E-08,-7.00E-10
7.76E-08,-9.00E-10
9.12E-08,-8.00E-10
1.07E-07,-7.00E-10
1.26E-07,-7.00E-10
1.48E-07,-6.00E-10
1.74E-07,-5.00E-10
2.04E-07,-7.00E-10
2.40E-07,-8.00E-10
2.82E-07,-5.00E-10
3.31E-07,-7.00E-10
3.89E-07,-6.00E-10
4.57E-07,-2.00E-10
5.37E-07,-3.00E-10
6.31E-07,-4.00E-10
7.42E-07,-7.00E-10
8.71E-07,-8.00E-10
1.02E-06,-8.00E-10
1.20E-06,-6.00E-10
1.41E-06,-7.00E-10
1.66E-06,-6.00E-10
1.95E-06,-8.00E-10
2.29E-06,-7.00E-10
2.69E-06,-9.00E-10
3.16E-06,-7.00E-10
3.72E-06,-3.00E-10
4.37E-06,-7.00E-10
5.13E-06,-7.00E-10
6.03E-06,-9.00E-10
7.08E-06,-7.00E-10
8.32E-06,-9.00E-10
9.77E-06,-5.00E-10
1.15E-05,-7.00E-10
1.35E-05,-8.00E-10
1.59E-05,-8.00E-10
1.86E-05,-1.00E-09
2.19E-05,-7.00E-10
2.57E-05,-1.10E-09
3.02E-05,-1.80E-09
3.55E-05,-2.30E-09
4.17E-05,-1.90E-09
4.90E-05,-2.10E-09
5.76E-05,-9.00E-10
6.76E-05,4.00E-10
7.95E-05,3.00E-10
9.34E-05,-1.00E-10
0.00010965,-1.00E-10
0.0001288,-4.00E-10
0.00015135,-2.00E-10
0.00017785,-8.00E-10
0.000209,-7.00E-10
0.0002455,-1.60E-09
0.0002885,-1.00E-10
0.000339,9.00E-10
0.000398,7.00E-10
0.0004675,-7.00E-10
0.0005495,-8.00E-10
0.0006455,-9.00E-10
0.0007585,-8.00E-10
0.0008915,-9.00E-10
0.001047,-9.00E-10
0.0012305,-8.00E-10
0.0014455,-7.00E-10
0.001698,-1.00E-09
0.0019955,-7.00E-10
0.002345,-9.00E-10
0.002755,-4.00E-10
0.003235,-7.00E-10
0.0038,-5.00E-10
0.004465,-5.00E-10
0.00525,-4.00E-10
0.006165,-5.00E-10
0.007245,-6.00E-10
0.00851,-3.00E-10
0.01,0
