,Emitter Currents,,,,,,Collector Currents,,,
Vb,Run 1,Run 2,Run 3,Run 4,,Vb,Run 1,Run 2,Run 3,Run 4
3.25,-0.02036,-0.02036,-8.00E-10,-0.02036,,3.25,5.34E-05,5.69E-05,1.96E-07,5.80E-05
3.3,-0.02036,-0.02036,-8.00E-10,-0.02036,,3.3,5.31E-05,5.64E-05,1.95E-07,5.74E-05
3.35,-0.02036,-0.02036,-4.00E-10,-0.02036,,3.35,5.28E-05,5.59E-05,2.01E-07,5.69E-05
3.4,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.4,5.24E-05,5.54E-05,1.98E-07,5.64E-05
3.45,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.45,5.21E-05,5.49E-05,1.98E-07,5.58E-05
3.5,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.5,5.18E-05,5.44E-05,2.01E-07,5.53E-05
3.55,-0.02036,-0.02036,-7.00E-10,-0.02036,,3.55,5.15E-05,5.39E-05,2.03E-07,5.48E-05
3.6,-0.02036,-0.02036,-1.00E-09,-0.02036,,3.6,5.12E-05,5.34E-05,4.70E-08,5.43E-05
3.65,-0.02036,-0.02036,-5.00E-10,-0.02036,,3.65,5.10E-05,5.30E-05,5.10E-08,5.38E-05
3.7,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.7,5.08E-05,5.25E-05,5.20E-08,5.33E-05
3.75,-0.02036,-0.02036,-4.00E-10,-0.02036,,3.75,5.05E-05,5.21E-05,5.10E-08,5.28E-05
3.8,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.8,5.04E-05,5.17E-05,5.10E-08,5.24E-05
3.85,-0.02036,-0.02036,-7.00E-10,-0.02036,,3.85,5.02E-05,5.13E-05,4.20E-08,5.20E-05
3.9,-0.02036,-0.02036,-1.00E-09,-0.02036,,3.9,5.02E-05,5.10E-05,4.50E-08,5.16E-05
3.95,-0.02036,-0.02036,-7.00E-10,-0.02036,,3.95,5.01E-05,5.07E-05,4.80E-08,5.13E-05
4,-0.02036,-0.02036,-5.00E-10,-0.02036,,4,5.01E-05,5.05E-05,5.10E-08,5.11E-05
4.05,-0.02036,-0.02036,-4.00E-10,-0.02036,,4.05,5.03E-05,5.04E-05,5.30E-08,5.09E-05
4.1,-0.02036,-0.02036,-9.00E-10,-0.02036,,4.1,5.08E-05,5.05E-05,5.80E-08,5.10E-05
4.15,-0.02036,-0.02036,-7.00E-10,-0.02036,,4.15,5.14E-05,5.12E-05,5.20E-08,5.16E-05
4.2,-0.02036,-0.02036,-6.00E-10,-0.02036,,4.2,5.25E-05,5.23E-05,5.30E-08,5.27E-05
4.25,-0.02036,-0.02036,-3.00E-10,-0.02036,,4.25,5.43E-05,5.41E-05,5.80E-08,5.44E-05
4.3,-0.02036,-0.02036,-7.00E-10,-0.02036,,4.3,5.71E-05,5.69E-05,5.70E-08,5.72E-05
4.35,-0.02036,-0.02036,-6.00E-10,-0.02036,,4.35,6.11E-05,6.09E-05,5.40E-08,6.11E-05
4.4,-0.02036,-0.02036,-5.00E-10,-0.02036,,4.4,6.65E-05,6.63E-05,5.40E-08,6.65E-05
4.45,-0.02036,-0.02036,-6.00E-10,-0.02036,,4.45,7.31E-05,7.30E-05,5.70E-08,7.31E-05
4.5,-0.02036,-0.02036,-7.00E-10,-0.02036,,4.5,8.14E-05,8.13E-05,5.20E-08,8.12E-05
4.55,-0.02036,-0.02036,-9.00E-10,-0.02036,,4.55,9.26E-05,9.27E-05,5.10E-08,9.20E-05
4.6,-0.02036,-0.02036,-9.00E-10,-0.02036,,4.6,0.0001134,0.0001139,6.00E-08,0.0001118
4.65,-0.02036,-0.02036,-9.00E-10,-0.02036,,4.65,0.0001618,0.0001631,5.70E-08,0.0001588
4.7,-0.02036,-0.02036,-7.00E-10,-0.02036,,4.7,0.00029,0.000294,6.10E-08,0.000285
4.75,-0.02036,-0.02036,-5.00E-10,-0.02036,,4.75,0.00056,0.000568,6.20E-08,0.000551
4.8,-0.02036,-0.02036,-7.00E-10,-0.02036,,4.8,0.001024,0.001038,5.50E-08,0.001017
4.85,-0.02036,-0.02036,-8.00E-10,-0.02036,,4.85,0.001642,0.001665,5.70E-08,0.001639
4.9,-0.02036,-0.02036,-7.00E-10,-0.02036,,4.9,0.00244,0.00247,5.80E-08,0.00245
4.95,-0.02036,-0.02036,-8.00E-10,-0.02036,,4.95,0.00322,0.00326,5.80E-08,0.00323
5,-0.02036,-0.02036,-6.00E-10,-0.02036,,5,0.00404,0.00409,5.90E-08,0.00406
