Run 1
Vb, Ib, Ie, Ic
1.4,6.87e-08,-4e-10,-6.91e-08
1.45,6.57e-08,-7e-10,-6.64e-08
1.5,9.11e-08,-3e-10,-9.14e-08
1.55,9.59e-08,-7e-10,-9.66e-08
1.6,8.95e-08,-5e-10,-9e-08
1.65,9.72e-08,-8e-10,-9.8e-08
1.7,9.56e-08,-6e-10,-9.62e-08
1.75,9.75e-08,-7e-10,-9.82e-08
1.8,1.076e-07,-6e-10,-1.082e-07
1.85,9.88e-08,-4e-10,-9.92e-08
1.9,1.035e-07,-7e-10,-1.042e-07
1.95,9.96e-08,-5e-10,-1.001e-07
2.0,9.23e-08,-6e-10,-9.29e-08
2.05,1.323e-07,-9e-10,-1.332e-07
2.1,1.371e-07,-8e-10,-1.379e-07
2.15,1.441e-07,-8e-10,-1.449e-07
2.2,1.468e-07,-5e-10,-1.473e-07
2.25,1.465e-07,-7e-10,-1.472e-07
2.3,1.494e-07,-6e-10,-1.5e-07
2.35,1.53e-07,-7e-10,-1.537e-07
2.4,1.498e-07,-6e-10,-1.504e-07
2.45,1.533e-07,-5e-10,-1.538e-07
2.5,1.597e-07,-4e-10,-1.601e-07
2.55,1.591e-07,-1e-09,-1.601e-07
2.6,1.603e-07,-5e-10,-1.608e-07
2.65,1.615e-07,-6e-10,-1.621e-07
2.7,1.65e-07,-7e-10,-1.657e-07
2.75,1.719e-07,-6e-10,-1.725e-07
2.8,1.769e-07,-7e-10,-1.776e-07
2.85,1.747e-07,-7e-10,-1.754e-07
2.9,1.827e-07,-7e-10,-1.834e-07
2.95,1.79e-07,-8e-10,-1.798e-07
3.0,1.894e-07,-8e-10,-1.902e-07
3.05,1.933e-07,-7e-10,-1.94e-07
3.1,4.5e-08,-7e-10,-4.57e-08
3.15,4.7e-08,-7e-10,-4.77e-08
3.2,4.1e-08,-6e-10,-4.16e-08
3.25,4.9e-08,-5e-10,-4.95e-08
3.3,4.2e-08,-4e-10,-4.24e-08
3.35,4.5e-08,-7e-10,-4.57e-08
3.4,4.2e-08,-7e-10,-4.27e-08
3.45,4.1e-08,-7e-10,-4.17e-08
3.5,4.5e-08,-6e-10,-4.56e-08
3.55,4.6e-08,-7e-10,-4.67e-08
3.6,4.7e-08,-7e-10,-4.77e-08
3.65,5.2e-08,-7e-10,-5.27e-08
3.7,4.6e-08,-8e-10,-4.68e-08
3.75,4.8e-08,-8e-10,-4.88e-08
3.8,4.9e-08,-9e-10,-4.99e-08
3.85,4.6e-08,-8e-10,-4.68e-08
3.9,4.7e-08,-7e-10,-4.77e-08
3.95,5e-08,-7e-10,-5.07e-08
