Run 1,,,,,,Run 2,,,,,,Run 3,,,,,,Run 4,,,,
Vb, Ib1,Ie, Ie,Ic1,,Vb, Ib2, Ie,Ie,Ic2,,Vb, Ib3, Ie,Ie,Ic3,,Vb, Ib4, Ie,Ie,Ic4
3.45,6.98E-05,2.04E-02,-0.02036,2.03E-02,,3.45,6.99E-05,-0.02036,2.04E-02,2.03E-02,,3.45,7.01E-05,-0.02036,2.04E-02,2.03E-02,,3.45,7.01E-05,-0.02036,2.04E-02,2.03E-02
3.5,7.01E-05,2.04E-02,-0.02036,2.03E-02,,3.5,7.03E-05,-0.02036,2.04E-02,2.03E-02,,3.5,7.05E-05,-0.02036,2.04E-02,2.03E-02,,3.5,7.05E-05,-0.02036,2.04E-02,2.03E-02
3.55,7.05E-05,2.04E-02,-0.02036,2.03E-02,,3.55,7.07E-05,-0.02036,2.04E-02,2.03E-02,,3.55,7.09E-05,-0.02036,2.04E-02,2.03E-02,,3.55,7.09E-05,-0.02036,2.04E-02,2.03E-02
3.6,7.09E-05,2.04E-02,-0.02036,2.03E-02,,3.6,7.11E-05,-0.02036,2.04E-02,2.03E-02,,3.6,7.13E-05,-0.02036,2.04E-02,2.03E-02,,3.6,7.13E-05,-0.02036,2.04E-02,2.03E-02
3.65,7.13E-05,2.04E-02,-0.02036,2.03E-02,,3.65,7.15E-05,-0.02036,2.04E-02,2.03E-02,,3.65,7.17E-05,-0.02036,2.04E-02,2.03E-02,,3.65,7.17E-05,-0.02036,2.04E-02,2.03E-02
3.7,7.17E-05,2.04E-02,-0.02036,2.03E-02,,3.7,7.18E-05,-0.02036,2.04E-02,2.03E-02,,3.7,7.21E-05,-0.02036,2.04E-02,2.03E-02,,3.7,7.20E-05,-0.02036,2.04E-02,2.03E-02
3.75,7.21E-05,2.04E-02,-0.02036,2.03E-02,,3.75,7.23E-05,-0.02036,2.04E-02,2.03E-02,,3.75,7.25E-05,-0.02036,2.04E-02,2.03E-02,,3.75,7.24E-05,-0.02036,2.04E-02,2.03E-02
3.8,7.25E-05,2.04E-02,-0.02036,2.03E-02,,3.8,7.27E-05,-0.02036,2.04E-02,2.03E-02,,3.8,7.29E-05,-0.02036,2.04E-02,2.03E-02,,3.8,7.29E-05,-0.02036,2.04E-02,2.03E-02
3.85,7.29E-05,2.04E-02,-0.02036,2.03E-02,,3.85,7.31E-05,-0.02036,2.04E-02,2.03E-02,,3.85,7.33E-05,-0.02036,2.04E-02,2.03E-02,,3.85,7.33E-05,-0.02036,2.04E-02,2.03E-02
3.9,7.33E-05,2.04E-02,-0.02036,2.03E-02,,3.9,7.35E-05,-0.02036,2.04E-02,2.03E-02,,3.9,7.37E-05,-0.02036,2.04E-02,2.03E-02,,3.9,7.37E-05,-0.02036,2.04E-02,2.03E-02
3.95,7.38E-05,2.04E-02,-0.02036,2.03E-02,,3.95,7.40E-05,-0.02036,2.04E-02,2.03E-02,,3.95,7.41E-05,-0.02036,2.04E-02,2.03E-02,,3.95,7.41E-05,-0.02036,2.04E-02,2.03E-02
4,7.43E-05,2.04E-02,-0.02036,2.03E-02,,4,7.44E-05,-0.02036,2.04E-02,2.03E-02,,4,7.47E-05,-0.02036,2.04E-02,2.03E-02,,4,7.47E-05,-0.02036,2.04E-02,2.03E-02
4.05,7.49E-05,2.04E-02,-0.02036,2.03E-02,,4.05,7.50E-05,-0.02036,2.04E-02,2.03E-02,,4.05,7.52E-05,-0.02036,2.04E-02,2.03E-02,,4.05,7.53E-05,-0.02036,2.04E-02,2.03E-02
