Vin,I1,I2,I3,I4,I1,I2,I3,I4
2.9,-7.26E-05,-3.62E-05,-1.81E-05,-9.07E-06,0.0000726,0.0000362,0.00001805,0.00000907
3,-7.51E-05,-3.75E-05,-1.87E-05,-9.38E-06,0.0000751,0.0000375,0.00001866,0.00000938
3.1,-7.76E-05,-3.88E-05,-1.93E-05,-9.69E-06,0.0000776,0.0000388,0.00001929,0.00000969
3.2,-8.01E-05,-4.00E-05,-1.99E-05,-1.00E-05,0.0000801,0.00004,0.00001989,0.00001
3.3,-8.26E-05,-4.13E-05,-2.07E-05,-1.03E-05,0.0000826,0.0000413,0.0000207,0.00001031
3.4,-8.51E-05,-4.25E-05,-2.12E-05,-1.06E-05,0.0000851,0.0000425,0.0000212,0.00001062
3.5,-8.75E-05,-4.38E-05,-2.18E-05,-1.09E-05,0.0000875,0.0000438,0.0000218,0.00001092
3.6,-9.01E-05,-4.50E-05,-2.24E-05,-1.12E-05,0.0000901,0.000045,0.0000224,0.00001123
3.7,-9.26E-05,-4.62E-05,-2.30E-05,-1.15E-05,0.0000926,0.0000462,0.000023,0.00001154
3.8,-9.51E-05,-4.75E-05,-2.37E-05,-1.19E-05,0.0000951,0.0000475,0.0000237,0.00001185
3.9,-9.75E-05,-4.87E-05,-2.43E-05,-1.22E-05,0.0000975,0.0000487,0.0000243,0.00001215
4,-0.0001001,-5.01E-05,-2.50E-05,-1.25E-05,0.0001001,0.0000501,0.000025,0.00001247
4.1,-0.0001027,-5.14E-05,-2.57E-05,-1.28E-05,0.0001027,0.0000514,0.0000257,0.00001279
4.2,-0.0001052,-5.26E-05,-2.63E-05,-1.31E-05,0.0001052,0.0000526,0.0000263,0.0000131
4.3,-0.0001077,-5.38E-05,-2.69E-05,-1.34E-05,0.0001077,0.0000538,0.0000269,0.00001341
4.4,-0.0001101,-5.51E-05,-2.75E-05,-1.37E-05,0.0001101,0.0000551,0.0000275,0.00001371
4.5,-0.0001126,-5.63E-05,-2.82E-05,-1.40E-05,0.0001126,0.0000563,0.0000282,0.00001402
4.6,-0.0001151,-5.76E-05,-2.88E-05,-1.43E-05,0.0001151,0.0000576,0.0000288,0.00001433
4.7,-0.0001176,-5.88E-05,-2.94E-05,-1.46E-05,0.0001176,0.0000588,0.0000294,0.00001464
4.8,-0.0001201,-6.01E-05,-3.00E-05,-1.50E-05,0.0001201,0.0000601,0.00003,0.00001495
4.9,-0.0001226,-6.13E-05,-3.07E-05,-1.53E-05,0.0001226,0.0000613,0.0000307,0.00001526
5,-0.0001252,-6.26E-05,-3.13E-05,-1.56E-05,0.0001252,0.0000626,0.0000313,0.00001557
