I_in, I_out1,,Input Current,Output Current,Output Current
0.00422,-0.00412,,0.00422,4.12E-03,4.12E-03
0.004245,-0.00415,,0.004245,4.15E-03,4.15E-03
0.004265,-0.00417,,0.004265,4.17E-03,4.17E-03
0.00429,-0.00419,,0.00429,4.19E-03,4.19E-03
0.004315,-0.00422,,0.004315,4.22E-03,4.22E-03
0.004335,-0.00424,,0.004335,4.24E-03,4.24E-03
0.00436,-0.00426,,0.00436,4.26E-03,4.26E-03
0.004385,-0.00429,,0.004385,4.29E-03,4.29E-03
0.00441,-0.00431,,0.00441,4.31E-03,4.31E-03
0.00443,-0.00433,,0.00443,4.33E-03,4.33E-03
0.004455,-0.00435,,0.004455,4.35E-03,4.35E-03
0.00448,-0.00438,,0.00448,4.38E-03,4.38E-03
0.0045,-0.0044,,0.0045,4.40E-03,4.40E-03
0.004525,-0.00442,,0.004525,4.42E-03,4.42E-03
0.00455,-0.00445,,0.00455,4.45E-03,4.45E-03
0.004575,-0.00448,,0.004575,4.48E-03,4.48E-03
0.004595,-0.00449,,0.004595,4.49E-03,4.49E-03
0.00462,-0.00453,,0.00462,4.53E-03,4.53E-03
0.004645,-0.00455,,0.004645,4.55E-03,4.55E-03
0.004665,-0.00457,,0.004665,4.57E-03,4.57E-03
0.00469,-0.0046,,0.00469,4.60E-03,4.60E-03
0.004715,-0.00462,,0.004715,4.62E-03,4.62E-03
0.00474,-0.00465,,0.00474,4.65E-03,4.65E-03
0.00476,-0.00467,,0.00476,4.67E-03,4.67E-03
0.004785,-0.00469,,0.004785,4.69E-03,4.69E-03
0.00481,-0.00472,,0.00481,4.72E-03,4.72E-03
0.00483,-0.00474,,0.00483,4.74E-03,4.74E-03
0.004855,-0.00476,,0.004855,4.76E-03,4.76E-03
0.00488,-0.00479,,0.00488,4.79E-03,4.79E-03
0.004905,-0.00482,,0.004905,4.82E-03,4.82E-03
0.004925,-0.00484,,0.004925,4.84E-03,4.84E-03
0.00495,-0.00486,,0.00495,4.86E-03,4.86E-03
0.004975,-0.00489,,0.004975,4.89E-03,4.89E-03
0.004995,-0.00491,,0.004995,4.91E-03,4.91E-03
0.00502,-0.00493,,0.00502,4.93E-03,4.93E-03
0.005045,-0.00496,,0.005045,4.96E-03,4.96E-03
0.00507,-0.00498,,0.00507,4.98E-03,4.98E-03
0.00509,-0.005,,0.00509,5.00E-03,5.00E-03
0.005115,-0.00503,,0.005115,5.03E-03,5.03E-03
0.00514,-0.00505,,0.00514,5.05E-03,5.05E-03
0.00516,-0.00507,,0.00516,5.07E-03,5.07E-03
0.005185,-0.0051,,0.005185,5.10E-03,5.10E-03
0.00521,-0.00512,,0.00521,5.12E-03,5.12E-03
0.005235,-0.00515,,0.005235,5.15E-03,5.15E-03
0.005255,-0.00517,,0.005255,5.17E-03,5.17E-03
0.00528,-0.00519,,0.00528,5.19E-03,5.19E-03
0.005305,-0.00522,,0.005305,5.22E-03,5.22E-03
0.005325,-0.00523,,0.005325,5.23E-03,5.23E-03
0.00535,-0.00526,,0.00535,5.26E-03,5.26E-03
0.005375,-0.00529,,0.005375,5.29E-03,5.29E-03
0.0054,-0.00531,,0.0054,5.31E-03,5.31E-03
0.00542,-0.00533,,0.00542,5.33E-03,5.33E-03
0.005445,-0.00535,,0.005445,5.35E-03,5.35E-03
0.00547,-0.00538,,0.00547,5.38E-03,5.38E-03
0.00549,-0.0054,,0.00549,5.40E-03,5.40E-03
0.005515,-0.00542,,0.005515,5.42E-03,5.42E-03
0.00554,-0.00545,,0.00554,5.45E-03,5.45E-03
0.005565,-0.00547,,0.005565,5.47E-03,5.47E-03
0.005585,-0.00549,,0.005585,5.49E-03,5.49E-03
0.00561,-0.00552,,0.00561,5.52E-03,5.52E-03
0.005635,-0.00554,,0.005635,5.54E-03,5.54E-03
0.005655,-0.00556,,0.005655,5.56E-03,5.56E-03
0.00568,-0.00558,,0.00568,5.58E-03,5.58E-03
0.005705,-0.00561,,0.005705,5.61E-03,5.61E-03
0.00573,-0.00564,,0.00573,5.64E-03,5.64E-03
0.00575,-0.00565,,0.00575,5.65E-03,5.65E-03
0.005775,-0.00568,,0.005775,5.68E-03,5.68E-03
0.0058,-0.0057,,0.0058,5.70E-03,5.70E-03
0.00582,-0.00572,,0.00582,5.72E-03,
0.005845,-0.00574,,0.005845,5.74E-03,
0.00587,-0.00577,,0.00587,5.77E-03,
0.005895,-0.00578,,0.005895,5.78E-03,
0.005915,-0.00578,,0.005915,5.78E-03,
0.00594,-0.00577,,0.00594,5.77E-03,
0.005965,-0.00577,,0.005965,5.77E-03,
0.005985,-0.00577,,0.005985,5.77E-03,
0.00601,-0.00577,,0.00601,5.77E-03,
0.006035,-0.00577,,0.006035,5.77E-03,
0.00606,-0.00577,,0.00606,5.77E-03,
0.00608,-0.00577,,0.00608,5.77E-03,
0.006105,-0.00577,,0.006105,5.77E-03,
0.00613,-0.00577,,0.00613,5.77E-03,
0.00615,-0.00577,,0.00615,5.77E-03,
0.006175,-0.00577,,0.006175,5.77E-03,
0.0062,-0.00577,,0.0062,5.77E-03,
0.006225,-0.00577,,0.006225,5.77E-03,
0.006245,-0.00577,,0.006245,5.77E-03,
0.00627,-0.00577,,0.00627,5.77E-03,
0.006295,-0.00577,,0.006295,5.77E-03,
0.006315,-0.00577,,0.006315,5.77E-03,
0.00634,-0.00577,,0.00634,5.77E-03,
0.006365,-0.00577,,0.006365,5.77E-03,
0.00639,-0.00577,,0.00639,5.77E-03,
0.00641,-0.00577,,0.00641,5.77E-03,
0.006435,-0.00577,,0.006435,5.77E-03,
0.00646,-0.00577,,0.00646,5.77E-03,
0.00648,-0.00577,,0.00648,5.77E-03,
0.006505,-0.00577,,0.006505,5.77E-03,
0.00653,-0.00577,,0.00653,5.77E-03,
0.006555,-0.00577,,0.006555,5.77E-03,
0.006575,-0.00577,,0.006575,5.77E-03,
0.0066,-0.00577,,0.0066,5.77E-03,
0.006625,-0.00577,,0.006625,5.77E-03,
0.006645,-0.00577,,0.006645,5.77E-03,
0.00667,-0.00577,,0.00667,5.77E-03,
0.006695,-0.00577,,0.006695,5.77E-03,
0.00672,-0.00577,,0.00672,5.77E-03,
0.00674,-0.00577,,0.00674,5.77E-03,
0.006765,-0.00577,,0.006765,5.77E-03,
0.00679,-0.00577,,0.00679,5.77E-03,
0.00681,-0.00577,,0.00681,5.77E-03,
0.006835,-0.00577,,0.006835,5.77E-03,
0.00686,-0.00577,,0.00686,5.77E-03,
0.006885,-0.00577,,0.006885,5.77E-03,
0.006905,-0.00577,,0.006905,5.77E-03,
0.00693,-0.00577,,0.00693,5.77E-03,
0.006955,-0.00577,,0.006955,5.77E-03,
0.006975,-0.00577,,0.006975,5.77E-03,
0.007,-0.00577,,0.007,5.77E-03,
0.007025,-0.00577,,0.007025,5.77E-03,
0.00705,-0.00577,,0.00705,5.77E-03,
0.00707,-0.00577,,0.00707,5.77E-03,
0.007095,-0.00577,,0.007095,5.77E-03,
0.00712,-0.00577,,0.00712,5.77E-03,
0.00714,-0.00577,,0.00714,5.77E-03,
0.007165,-0.00577,,0.007165,5.77E-03,
0.00719,-0.00577,,0.00719,5.77E-03,
0.007215,-0.00577,,0.007215,5.77E-03,
0.007235,-0.00577,,0.007235,5.77E-03,
0.00726,-0.00577,,0.00726,5.77E-03,
0.007285,-0.00577,,0.007285,5.77E-03,
0.007305,-0.00577,,0.007305,5.77E-03,
0.00733,-0.00577,,0.00733,5.77E-03,
0.007355,-0.00577,,0.007355,5.77E-03,
0.00738,-0.00577,,0.00738,5.77E-03,
0.0074,-0.00577,,0.0074,5.77E-03,
0.007425,-0.00577,,0.007425,5.77E-03,
0.00745,-0.00577,,0.00745,5.77E-03,
0.00747,-0.00577,,0.00747,5.77E-03,
0.007495,-0.00577,,0.007495,5.77E-03,
0.00752,-0.00577,,0.00752,5.77E-03,
0.007545,-0.00577,,0.007545,5.77E-03,
0.007565,-0.00577,,0.007565,5.77E-03,
0.00759,-0.00577,,0.00759,5.77E-03,
0.007615,-0.00577,,0.007615,5.77E-03,
0.007635,-0.00577,,0.007635,5.77E-03,
0.00766,-0.00577,,0.00766,5.77E-03,
0.007685,-0.00577,,0.007685,5.77E-03,
0.00771,-0.00577,,0.00771,5.77E-03,
0.00773,-0.00577,,0.00773,5.77E-03,
0.007755,-0.00577,,0.007755,5.77E-03,
0.00778,-0.00577,,0.00778,5.77E-03,
0.0078,-0.00577,,0.0078,5.77E-03,
0.007825,-0.00577,,0.007825,5.77E-03,
0.00785,-0.00577,,0.00785,5.77E-03,
0.007875,-0.00577,,0.007875,5.77E-03,
0.007895,-0.00577,,0.007895,5.77E-03,
0.00792,-0.00577,,0.00792,5.77E-03,
0.007945,-0.00577,,0.007945,5.77E-03,
0.007965,-0.00577,,0.007965,5.77E-03,
0.00799,-0.00577,,0.00799,5.77E-03,
0.008015,-0.00577,,0.008015,5.77E-03,
0.00804,-0.00576,,0.00804,5.76E-03,
0.00806,-0.00577,,0.00806,5.77E-03,
0.008085,-0.00577,,0.008085,5.77E-03,
0.00811,-0.00576,,0.00811,5.76E-03,
0.00813,-0.00577,,0.00813,5.77E-03,
0.008155,-0.00576,,0.008155,5.76E-03,
0.00818,-0.00576,,0.00818,5.76E-03,
0.008205,-0.00576,,0.008205,5.76E-03,
0.008225,-0.00576,,0.008225,5.76E-03,
0.00825,-0.00577,,0.00825,5.77E-03,
