I_in, I_out1,,Flipped, I_out1
-0.0045,0.00151,,0.0045,0.00151
-0.004525,0.001519,,0.004525,0.001519
-0.00455,0.001527,,0.00455,0.001527
-0.004575,0.001535,,0.004575,0.001535
-0.004595,0.001542,,0.004595,0.001542
-0.00462,0.001551,,0.00462,0.001551
-0.004645,0.001559,,0.004645,0.001559
-0.004665,0.001566,,0.004665,0.001566
-0.00469,0.001575,,0.00469,0.001575
-0.004715,0.001583,,0.004715,0.001583
-0.00474,0.001592,,0.00474,0.001592
-0.00476,0.001599,,0.00476,0.001599
-0.004785,0.001607,,0.004785,0.001607
-0.00481,0.001616,,0.00481,0.001616
-0.00483,0.001623,,0.00483,0.001623
-0.004855,0.001631,,0.004855,0.001631
-0.00488,0.00164,,0.00488,0.00164
-0.004905,0.001649,,0.004905,0.001649
-0.004925,0.001656,,0.004925,0.001656
-0.00495,0.001664,,0.00495,0.001664
-0.004975,0.001673,,0.004975,0.001673
-0.004995,0.00168,,0.004995,0.00168
-0.00502,0.001689,,0.00502,0.001689
-0.005045,0.001697,,0.005045,0.001697
-0.00507,0.001706,,0.00507,0.001706
-0.00509,0.001713,,0.00509,0.001713
-0.005115,0.001721,,0.005115,0.001721
-0.00514,0.00173,,0.00514,0.00173
-0.00516,0.001737,,0.00516,0.001737
-0.005185,0.001746,,0.005185,0.001746
-0.00521,0.001755,,0.00521,0.001755
-0.005235,0.001763,,0.005235,0.001763
-0.005255,0.00177,,0.005255,0.00177
-0.00528,0.001779,,0.00528,0.001779
-0.005305,0.001788,,0.005305,0.001788
-0.005325,0.001795,,0.005325,0.001795
-0.00535,0.001803,,0.00535,0.001803
-0.005375,0.001812,,0.005375,0.001812
-0.0054,0.001821,,0.0054,0.001821
-0.00542,0.001827,,0.00542,0.001827
-0.005445,0.001836,,0.005445,0.001836
-0.00547,0.001845,,0.00547,0.001845
-0.00549,0.001852,,0.00549,0.001852
-0.005515,0.001861,,0.005515,0.001861
-0.00554,0.001869,,0.00554,0.001869
-0.005565,0.001878,,0.005565,0.001878
-0.005585,0.001885,,0.005585,0.001885
-0.00561,0.001894,,0.00561,0.001894
-0.005635,0.001903,,0.005635,0.001903
-0.005655,0.001909,,0.005655,0.001909
-0.00568,0.001918,,0.00568,0.001918
-0.005705,0.001927,,0.005705,0.001927
-0.00573,0.001935,,0.00573,0.001935
-0.00575,0.001942,,0.00575,0.001942
-0.005775,0.001951,,0.005775,0.001951
-0.0058,0.00196,,0.0058,0.00196
-0.00582,0.001966,,0.00582,0.001966
-0.005845,0.001975,,0.005845,0.001975
-0.00587,0.001984,,0.00587,0.001984
-0.005895,0.001992,,0.005895,0.001992
-0.005915,0.001999,,0.005915,0.001999
-0.00594,0.00205,,0.00594,0.00205
-0.005965,0.00206,,0.005965,0.00206
-0.005985,0.00207,,0.005985,0.00207
-0.00601,0.00207,,0.00601,0.00207
-0.006035,0.00208,,0.006035,0.00208
-0.00606,0.00209,,0.00606,0.00209
-0.00608,0.0021,,0.00608,0.0021
-0.006105,0.00211,,0.006105,0.00211
-0.00613,0.00211,,0.00613,0.00211
-0.00615,0.00212,,0.00615,0.00212
-0.006175,0.00213,,0.006175,0.00213
-0.0062,0.00214,,0.0062,0.00214
-0.006225,0.00215,,0.006225,0.00215
-0.006245,0.00215,,0.006245,0.00215
-0.00627,0.00216,,0.00627,0.00216
-0.006295,0.00217,,0.006295,0.00217
-0.006315,0.00218,,0.006315,0.00218
-0.00634,0.00219,,0.00634,0.00219
-0.006365,0.0022,,0.006365,0.0022
-0.00639,0.00221,,0.00639,0.00221
-0.00641,0.00221,,0.00641,0.00221
-0.006435,0.00222,,0.006435,0.00222
-0.00646,0.00223,,0.00646,0.00223
-0.00648,0.00224,,0.00648,0.00224
-0.006505,0.00224,,0.006505,0.00224
-0.00653,0.00225,,0.00653,0.00225
-0.006555,0.00226,,0.006555,0.00226
-0.006575,0.00227,,0.006575,0.00227
-0.0066,0.00228,,0.0066,0.00228
-0.006625,0.00229,,0.006625,0.00229
-0.006645,0.0023,,0.006645,0.0023
-0.00667,0.0023,,0.00667,0.0023
-0.006695,0.00231,,0.006695,0.00231
-0.00672,0.00232,,0.00672,0.00232
-0.00674,0.00233,,0.00674,0.00233
-0.006765,0.00234,,0.006765,0.00234
-0.00679,0.00235,,0.00679,0.00235
-0.00681,0.00235,,0.00681,0.00235
-0.006835,0.00236,,0.006835,0.00236
-0.00686,0.00237,,0.00686,0.00237
-0.006885,0.00238,,0.006885,0.00238
-0.006905,0.00239,,0.006905,0.00239
-0.00693,0.00239,,0.00693,0.00239
-0.006955,0.0024,,0.006955,0.0024
-0.006975,0.00241,,0.006975,0.00241
-0.007,0.00242,,0.007,0.00242
-0.007025,0.00243,,0.007025,0.00243
-0.00705,0.00244,,0.00705,0.00244
-0.00707,0.00244,,0.00707,0.00244
-0.007095,0.00245,,0.007095,0.00245
-0.00712,0.00246,,0.00712,0.00246
-0.00714,0.00247,,0.00714,0.00247
-0.007165,0.00247,,0.007165,0.00247
-0.00719,0.00248,,0.00719,0.00248
-0.007215,0.00249,,0.007215,0.00249
-0.007235,0.0025,,0.007235,0.0025
-0.00726,0.00251,,0.00726,0.00251
-0.007285,0.00252,,0.007285,0.00252
-0.007305,0.00252,,0.007305,0.00252
-0.00733,0.00253,,0.00733,0.00253
-0.007355,0.00254,,0.007355,0.00254
-0.00738,0.00255,,0.00738,0.00255
-0.0074,0.00256,,0.0074,0.00256
-0.007425,0.00257,,0.007425,0.00257
-0.00745,0.00258,,0.00745,0.00258
-0.00747,0.00258,,0.00747,0.00258
-0.007495,0.00259,,0.007495,0.00259
-0.00752,0.0026,,0.00752,0.0026
-0.007545,0.00261,,0.007545,0.00261
-0.007565,0.00262,,0.007565,0.00262
-0.00759,0.00262,,0.00759,0.00262
-0.007615,0.00263,,0.007615,0.00263
-0.007635,0.00264,,0.007635,0.00264
-0.00766,0.00265,,0.00766,0.00265
-0.007685,0.00266,,0.007685,0.00266
-0.00771,0.00267,,0.00771,0.00267
-0.00773,0.00267,,0.00773,0.00267
-0.007755,0.00268,,0.007755,0.00268
-0.00778,0.00269,,0.00778,0.00269
-0.0078,0.0027,,0.0078,0.0027
-0.007825,0.00271,,0.007825,0.00271
-0.00785,0.00271,,0.00785,0.00271
-0.007875,0.00272,,0.007875,0.00272
-0.007895,0.00273,,0.007895,0.00273
-0.00792,0.00274,,0.00792,0.00274
-0.007945,0.00275,,0.007945,0.00275
-0.007965,0.00276,,0.007965,0.00276
-0.00799,0.00276,,0.00799,0.00276
-0.008015,0.00277,,0.008015,0.00277
-0.00804,0.00278,,0.00804,0.00278
-0.00806,0.00279,,0.00806,0.00279
-0.008085,0.0028,,0.008085,0.0028
-0.00811,0.00281,,0.00811,0.00281
-0.00813,0.00281,,0.00813,0.00281
-0.008155,0.00282,,0.008155,0.00282
-0.00818,0.00283,,0.00818,0.00283
-0.008205,0.00284,,0.008205,0.00284
-0.008225,0.00285,,0.008225,0.00285
-0.00825,0.00286,,0.00825,0.00286
