Vout, Iout
3.322,-2.054e-07
3.331,-2.054e-07
3.339,-2.054e-07
3.347,-2.054e-07
3.356,-2.054e-07
3.364,-2.054e-07
3.372,-2.054e-07
3.381,-2.054e-07
3.389,-2.054e-07
3.397,-2.054e-07
3.406,-2.054e-07
3.414,-2.054e-07
3.422,-2.054e-07
3.431,-2.054e-07
3.439,-2.054e-07
3.447,-2.054e-07
3.456,-2.054e-07
3.464,-2.054e-07
3.472,-2.054e-07
3.481,-2.054e-07
3.489,-2.054e-07
3.497,-2.054e-07
3.506,-2.054e-07
3.514,-2.052e-07
3.523,-2.052e-07
3.531,-2.029e-07
3.539,-2.024e-07
3.548,-1.995e-07
3.556,-1.951e-07
3.564,-1.947e-07
3.573,-1.901e-07
3.581,-1.893e-07
3.589,-1.877e-07
3.598,-1.85e-07
3.606,-1.827e-07
3.614,-1.807e-07
3.623,-1.771e-07
3.631,-1.759e-07
3.639,-1.743e-07
3.648,-1.747e-07
3.656,-1.667e-07
3.664,-1.686e-07
3.673,-1.627e-07
3.681,-1.609e-07
3.689,-1.607e-07
3.698,-1.575e-07
3.706,-1.568e-07
3.715,-1.526e-07
3.723,-1.478e-07
3.731,-1.498e-07
3.74,-1.442e-07
3.748,-1.421e-07
3.756,-1.398e-07
3.765,-1.338e-07
3.773,-1.337e-07
3.781,-1.293e-07
3.79,-1.296e-07
3.798,-1.237e-07
3.806,-1.236e-07
3.815,-1.258e-07
3.823,-1.185e-07
3.831,-1.155e-07
3.84,-1.196e-07
3.848,-1.131e-07
3.856,-1.077e-07
3.865,-1.024e-07
3.873,-1.065e-07
3.881,-1.037e-07
3.89,-9.91e-08
3.898,-9.86e-08
3.907,-8.95e-08
3.915,-9.12e-08
3.923,-8.63e-08
3.932,-8.72e-08
3.94,-8.49e-08
3.948,-8.78e-08
3.957,-7.65e-08
3.965,-7.58e-08
3.973,-7.5e-08
3.982,-7.12e-08
3.99,-6.55e-08
3.998,-6.71e-08
4.0075,-5.54e-08
4.015,-4.52e-08
4.0225,-4.33e-08
4.0325,-2.9e-08
4.04,-3.17e-08
4.0475,-3e-08
4.0575,-2.18e-08
4.065,-2.5e-08
4.0725,-2.36e-08
4.0825,-1.28e-08
4.09,-1.54e-08
4.0975,-1.48e-08
4.1075,-4.3e-09
4.115,-1.12e-08
4.1225,-5.5e-09
4.1325,6.7e-09
4.14,2e-10
4.1475,4.4e-09
4.1575,1.58e-08
4.165,7.9e-09
4.1725,1.33e-08
4.1825,2.6e-08
4.19,1.89e-08
4.1975,2.39e-08
4.2075,3.83e-08
4.215,2.94e-08
4.2225,3.16e-08
4.2325,4.41e-08
4.24,3.89e-08
4.2475,4.46e-08
4.2575,5.51e-08
4.265,4.89e-08
4.275,6.43e-08
4.2825,5.85e-08
4.29,6.04e-08
4.3,7.06e-08
4.3075,6.71e-08
4.315,7.05e-08
4.325,8.35e-08
4.3325,7.51e-08
4.34,8.02e-08
4.35,9.4e-08
4.3575,9.06e-08
4.365,9.4e-08
4.375,1.059e-07
4.3825,1e-07
4.39,1.017e-07
4.4,1.147e-07
4.4075,1.107e-07
4.415,1.128e-07
4.425,1.293e-07
4.4325,9.8e-08
4.44,1.03e-07
4.45,1.11e-07
4.4575,1.09e-07
4.465,1.14e-07
4.475,1.23e-07
4.4825,1.19e-07
4.49,1.27e-07
4.5,1.32e-07
4.5075,1.34e-07
4.515,1.37e-07
4.525,1.42e-07
